,Date,Valores
0,2006-01-03,1034.0
1,2006-01-10,-47.0
2,2006-01-12,-843.0
3,2006-01-13,-422.0
4,2006-01-16,-1197.0
5,2006-01-17,-167.0
6,2006-01-19,1053.0
7,2006-01-30,1547.0
8,2006-01-31,1751.0
9,2006-02-01,1085.0
10,2006-02-14,-1387.0
11,2006-02-15,-583.0
12,2006-02-16,952.0
13,2006-02-17,1160.0
14,2006-02-20,1218.0
15,2006-03-07,743.0
16,2006-03-08,957.0
17,2006-03-10,1514.0
18,2006-03-14,1069.0
19,2006-03-20,974.0
20,2006-03-30,379.0
21,2006-03-31,101.0
22,2006-04-03,1243.0
23,2006-04-04,1225.0
24,2006-04-05,1412.0
25,2006-04-17,823.0
26,2006-04-18,-646.0
27,2006-04-19,-1463.0
28,2006-04-20,-1874.0
29,2006-04-24,-1324.0
30,2006-04-27,659.0
31,2006-05-05,1054.0
32,2006-05-08,498.0
33,2006-05-09,1003.0
34,2006-05-11,905.0
35,2006-06-01,-2475.0
36,2006-06-02,-1474.0
37,2006-07-03,-934.0
38,2006-07-04,837.0
39,2006-07-05,-362.0
40,2006-07-06,1269.0
41,2006-07-07,664.0
42,2006-07-13,787.0
43,2006-07-18,1424.0
44,2006-07-19,-555.0
45,2006-07-25,457.0
46,2006-07-28,787.0
47,2006-08-03,563.0
48,2006-08-04,771.0
49,2006-08-07,859.0
50,2006-09-01,41.0
51,2006-09-04,438.0
52,2006-09-05,14.0
53,2006-09-18,-461.0
54,2006-09-28,-810.0
55,2006-09-29,-261.0
56,2006-10-02,911.0
57,2006-10-03,-112.0
58,2006-10-04,1863.0
59,2006-10-06,-37.0
60,2006-10-17,-492.0
61,2006-10-18,-31.0
62,2006-10-20,-321.0
63,2006-10-23,-377.0
64,2006-10-30,329.0
65,2006-11-10,-1800.0
66,2006-11-13,-1107.0
67,2006-11-14,-1728.0
68,2006-11-16,-1517.0
69,2006-11-21,-2307.0
70,2006-11-29,57.0
71,2006-11-30,-138.0
72,2006-12-14,1997.0
73,2007-01-18,1435.0
74,2007-01-19,774.0
75,2007-01-23,1020.0
76,2007-01-24,1709.0
77,2007-01-26,816.0
78,2007-01-30,491.0
79,2007-01-31,1069.0
80,2007-02-15,-1140.0
81,2007-02-21,-1092.0
82,2007-02-22,-1166.0
83,2007-02-26,-855.0
84,2007-02-27,1443.0
85,2007-03-06,674.0
86,2007-03-14,621.0
87,2007-03-15,-188.0
88,2007-03-16,-1403.0
89,2007-03-19,-536.0
90,2007-03-20,1602.0
