Date,Valores
2005-02-02,254.0
2005-02-15,1736.0
2005-03-02,61.0
2005-03-07,787.0
2005-03-09,-507.0
2005-04-07,-1103.0
2005-04-18,-1008.0
2005-05-03,-850.0
2005-05-10,-673.0
2005-06-03,1667.0
2005-07-18,-235.0
2005-07-26,337.0
2005-08-05,48.0
2005-08-09,580.0
2005-08-12,318.0
2005-08-17,41.0
2005-08-19,-256.0
2005-09-05,203.0
2005-09-09,453.0
2005-10-07,-1311.0
2005-10-17,-35.0
2005-11-07,-148.0
2005-11-17,605.0
2005-11-29,294.0
2005-12-02,915.0
2005-12-27,40.0
2006-01-06,934.0
2006-01-13,118.0
2006-01-19,739.0
2006-01-30,420.0
2006-02-14,-348.0
2006-03-20,-922.0
2006-04-26,2509.0
2006-05-08,1764.0
2006-06-05,-5012.0
2006-06-08,-1120.0
2006-06-30,1556.0
2006-07-27,1534.0
2006-08-02,449.0
2006-08-04,397.0
2006-08-10,-246.0
2006-09-01,385.0
2006-10-02,348.0
2006-10-11,-84.0
2006-10-19,22.0
2006-10-23,584.0
2006-10-30,-663.0
2006-11-14,685.0
2006-11-28,-119.0
2006-12-13,1315.0
2006-12-19,81.0
2006-12-26,101.0
2007-01-02,857.0
2007-01-04,-425.0
2007-01-08,585.0
2007-01-10,329.0
2007-01-17,-360.0
2007-01-29,-604.0
2007-02-16,-106.0
2007-03-06,2039.0
2007-03-08,799.0
2007-03-15,-971.0
2007-03-29,871.0
2007-04-03,483.0
2007-04-19,7.0
2007-04-27,68.0
2007-05-09,1018.0
2007-05-30,715.0
2007-06-01,1155.0
2007-06-08,281.0
2007-06-13,217.0
2007-06-15,806.0
2007-06-22,-377.0
2007-07-02,1519.0
2007-07-04,-4.0
2007-07-13,1288.0
2007-07-30,1651.0
2007-08-08,2395.0
2007-08-24,564.0
2007-09-18,2325.0
2007-10-24,1731.0
2007-10-26,1935.0
2007-10-31,274.0
2007-11-16,3082.0
2007-11-27,-2904.0
2007-11-29,441.0
2007-12-21,-2348.0
2007-12-27,-514.0
2008-01-08,1044.0
2008-01-10,841.0
2008-01-18,469.0
2008-01-22,2388.0
2008-02-27,886.0
2008-03-11,2369.0
2008-03-13,103.0
2008-03-18,1921.0
2008-03-28,-782.0
2008-04-17,400.0
2008-04-25,611.0
2008-04-30,2190.0
2008-05-12,1398.0
2008-05-19,1947.0
2008-05-27,-1303.0
2008-06-03,-1885.0
2008-06-05,2562.0
2008-06-23,-5146.0
2008-07-04,-4956.0
2008-07-16,1908.0
2008-08-22,-1584.0
2008-08-27,1042.0
2008-09-16,-7153.0
2008-09-24,250.0
2008-11-05,-4315.0
2008-11-07,303.0
2008-11-11,486.0
2008-12-02,906.0
2008-12-09,2621.0
2008-12-16,1673.0
2009-01-06,2776.0
2009-01-15,1169.0
2009-01-21,-285.0
2009-01-30,602.0
2009-02-03,1081.0
2009-02-10,1078.0
2009-02-27,-2663.0
2009-03-03,233.0
2009-03-10,1690.0
2009-03-17,706.0
2009-03-19,311.0
2009-03-31,273.0
2009-04-16,752.0
2009-04-24,971.0
2009-04-28,1.0
2009-05-14,767.0
2009-05-18,2456.0
2009-05-29,1953.0
2009-06-29,932.0
