Date,Valores
2010-03-09,45225.0
2015-04-10,-15765.0
2015-04-16,434.0
2015-04-29,-1269.0
2015-05-07,-433.0
2015-05-15,52.0
2015-05-19,-705.0
2015-07-17,-897.0
2015-08-31,-1089.0
2015-09-09,-709.0
2015-09-18,-1289.0
2015-10-21,1713.0
2015-11-30,-2316.0
2015-12-21,-2061.0
2015-12-30,-665.0
2016-01-26,-534.0
2016-02-11,688.0
2016-02-25,940.0
2016-03-15,2237.0
2016-03-17,3151.0
2016-03-22,195.0
2016-04-04,-2469.0
2016-04-14,409.0
2016-04-18,-334.0
2016-06-14,-1239.0
2016-06-27,-166.0
2016-07-28,5665.0
2016-08-10,-741.0
2016-09-09,-2129.0
2016-09-13,-1765.0
2016-10-04,1989.0
2016-10-26,3572.0
2016-11-03,-3175.0
2016-11-10,-2957.0
2016-12-01,-1252.0
2017-01-06,3728.0
2017-01-30,1856.0
2017-02-06,-678.0
2017-02-17,2783.0
2017-02-22,-462.0
2017-04-06,369.0
2017-04-10,57.0
2017-04-12,-468.0
2017-04-27,-471.0
2017-05-08,-1196.0
2017-05-22,-5677.0
2017-05-25,-30.0
2017-06-20,-1248.0
2017-07-06,-430.0
2017-07-20,1106.0
2017-08-10,1715.0
2017-08-21,280.0
2017-08-28,539.0
2017-09-19,3823.0
2017-09-21,-400.0
2017-10-04,-172.0
2017-10-30,-1176.0
2017-11-09,-1432.0
2017-11-23,-108.0
2017-12-07,-781.0
2017-12-14,-1385.0
2018-01-12,6234.0
2018-01-30,4650.0
2018-02-05,-3052.0
2018-02-07,-1127.0
2018-03-01,853.0
2018-03-07,-539.0
2018-03-14,-849.0
2018-04-02,-700.0
2018-04-16,-2582.0
2018-04-24,-307.0
2018-04-30,-330.0
2018-05-11,-641.0
2018-06-06,-1123.0
2018-07-11,3446.0
2018-08-08,2558.0
2018-08-30,-1985.0
2018-09-13,-1749.0
2018-09-20,1327.0
2018-10-01,-32.0
2018-10-09,4476.0
2018-10-11,-758.0
2018-10-16,2358.0
2018-11-08,-144.0
2018-11-23,-1247.0
2018-12-04,-1086.0
2018-12-17,-1438.0
2019-01-15,6169.0
2019-01-22,-248.0
2019-02-07,-3271.0
2019-03-12,-199.0
2019-03-19,-406.0
2019-04-03,-924.0
2019-04-10,-360.0
2019-04-17,-1048.0
2019-04-26,1648.0
2019-06-03,627.0
2019-06-05,-1381.0
2019-06-10,-354.0
2019-07-15,1790.0
2019-07-19,-1265.0
2019-08-14,-2416.0
2019-09-03,-843.0
2019-09-19,3138.0
2019-09-23,-179.0
2019-10-07,-1978.0
2019-10-31,5403.0
2019-11-28,582.0
2019-12-03,723.0
2019-12-10,-454.0
2019-12-27,4334.0
2020-01-03,1743.0
2020-01-24,-102.0
2020-01-29,903.0
2020-02-07,-2258.0
2020-02-14,-2293.0
2020-03-31,-4690.0
2020-04-20,348.0
2020-05-04,-4295.0
2024-11-07,48940.0
