Date,Valores
2005-02-02,254.0
2005-02-10,1542.0
2005-02-15,78.0
2005-02-17,707.0
2005-02-21,97.0
2005-02-24,1696.0
2005-03-03,243.0
2005-03-09,-507.0
2005-03-16,-740.0
2005-03-30,-1123.0
2005-04-12,-405.0
2005-04-19,-500.0
2005-04-25,170.0
2005-05-03,-589.0
2005-05-06,153.0
2005-05-10,-702.0
2005-05-17,-286.0
2005-05-30,595.0
2005-06-01,742.0
2005-06-10,-605.0
2005-06-27,324.0
2005-07-01,50.0
2005-07-13,811.0
2005-07-18,99.0
2005-07-20,434.0
2005-07-28,226.0
2005-08-01,256.0
2005-08-09,502.0
2005-08-12,-166.0
2005-08-22,-114.0
2005-08-25,633.0
2005-08-31,950.0
2005-09-02,357.0
2005-09-12,258.0
2005-09-14,177.0
2005-09-21,761.0
2005-09-23,616.0
2005-09-28,176.0
2005-09-30,375.0
2005-10-10,113.0
2005-10-19,-583.0
2005-10-21,832.0
2005-10-26,232.0
2005-10-28,185.0
2005-11-07,64.0
2005-11-16,-243.0
2005-11-22,402.0
2005-11-29,-291.0
2005-12-01,700.0
2005-12-06,522.0
2005-12-08,-277.0
2005-12-13,498.0
2005-12-16,-337.0
2005-12-20,62.0
2005-12-29,-61.0
2006-01-04,1495.0
2006-01-06,539.0
2006-01-10,-288.0
2006-01-13,-55.0
2006-01-19,1053.0
2006-01-24,705.0
2006-01-30,228.0
2006-02-14,-677.0
2006-02-23,239.0
2006-03-03,114.0
2006-03-07,-931.0
2006-03-14,252.0
2006-03-24,-472.0
2006-03-29,810.0
2006-04-04,85.0
2006-04-12,-626.0
2006-04-18,1490.0
2006-05-02,1079.0
2006-05-04,56.0
2006-05-26,-3473.0
2006-05-31,117.0
2006-06-28,-1905.0
2006-06-30,144.0
2006-07-04,10.0
2006-07-06,155.0
2006-07-10,39.0
2006-07-19,555.0
2006-07-24,377.0
2006-08-02,694.0
2006-08-04,397.0
2006-08-15,-402.0
2006-09-01,-349.0
2006-09-13,-1143.0
2006-09-15,16.0
2006-09-26,622.0
2006-09-28,380.0
2006-10-02,609.0
2006-10-04,1311.0
2006-10-09,429.0
2006-10-16,379.0
2006-10-19,22.0
2006-10-23,584.0
2006-10-26,82.0
2006-11-03,1107.0
2006-11-08,87.0
2006-11-10,-95.0
2006-11-14,685.0
2006-11-21,408.0
2006-12-04,741.0
2006-12-19,433.0
2007-01-08,-672.0
2007-01-11,663.0
2007-01-17,-360.0
2007-01-19,950.0
2007-01-24,1134.0
2007-02-01,403.0
2007-02-05,288.0
2007-02-08,304.0
2007-02-13,913.0
2007-02-21,94.0
2007-02-28,-2560.0
2007-03-09,616.0
2007-03-19,-536.0
2007-03-23,109.0
2007-04-03,1081.0
2007-04-09,301.0
2007-04-13,987.0
2007-04-19,7.0
2007-04-25,268.0
2007-04-27,162.0
2007-05-02,516.0
2007-05-09,702.0
2007-05-11,667.0
2007-05-15,7.0
2007-05-18,447.0
2007-06-01,1610.0
2007-06-13,-249.0
2007-06-18,211.0
2007-07-02,727.0
2007-07-04,-4.0
2007-07-10,-561.0
2007-07-17,47.0
2007-07-19,569.0
2007-07-30,-2870.0
2007-08-01,51.0
2007-08-08,1439.0
2007-08-22,-1686.0
2007-08-29,1090.0
2007-08-31,1779.0
2007-09-11,-1329.0
2007-09-13,1025.0
2007-09-18,1995.0
2007-09-24,920.0
2007-10-04,-58.0
2007-10-08,342.0
2007-10-15,-580.0
2007-10-18,1543.0
2007-10-22,321.0
2007-10-26,1579.0
2007-10-31,274.0
2007-11-06,453.0
2007-11-08,61.0
2007-11-28,-2916.0
2007-11-30,850.0
2007-12-06,2309.0
2007-12-12,-897.0
2007-12-26,1427.0
2008-01-03,-882.0
2008-01-10,2478.0
2008-01-14,246.0
2008-01-30,382.0
2008-02-01,1590.0
2008-02-07,-4.0
2008-02-12,2729.0
2008-02-18,210.0
2008-02-21,1495.0
2008-02-25,392.0
2008-02-27,312.0
2008-03-03,-1065.0
2008-03-05,973.0
2008-03-20,-3988.0
2008-04-02,2602.0
2008-04-04,271.0
2008-04-10,50.0
2008-04-15,33.0
2008-04-17,400.0
2008-04-22,490.0
2008-04-25,239.0
2008-05-02,3688.0
2008-05-06,20.0
2008-05-08,704.0
2008-05-12,770.0
2008-05-15,989.0
2008-05-30,-924.0
2008-06-17,-1574.0
2008-06-25,-737.0
2008-07-08,-4411.0
2008-07-14,468.0
2008-08-14,-4971.0
2008-08-19,-605.0
2008-09-10,-6217.0
2008-09-16,-2041.0
2008-09-18,2514.0
2008-10-30,-15606.0
2008-11-11,5.0
2008-11-13,1619.0
2008-11-25,-976.0
2008-12-02,-1212.0
2008-12-05,50.0
2008-12-12,370.0
2008-12-16,1673.0
2008-12-29,-2887.0
2009-01-08,1171.0
2009-01-13,-2039.0
2009-01-15,1169.0
2009-01-21,1271.0
2009-01-26,615.0
2009-01-28,1528.0
2009-02-03,109.0
2009-02-06,2627.0
2009-02-10,-893.0
2009-02-16,995.0
2009-02-19,-117.0
2009-03-04,-313.0
2009-03-11,1436.0
2009-03-19,1438.0
2009-03-23,2363.0
2009-03-25,323.0
2009-04-02,1147.0
2009-04-08,15.0
2009-04-13,453.0
2009-04-16,607.0
2009-04-28,43.0
2009-05-04,3115.0
2009-05-06,829.0
2009-05-08,1338.0
2009-05-14,-1530.0
2009-05-22,1561.0
2009-06-01,3670.0
2009-06-04,-536.0
2009-06-08,289.0
2009-06-10,254.0
2009-06-24,-2362.0
2009-07-15,-189.0
2009-07-21,1316.0
2009-07-23,1176.0
2009-07-27,92.0
2009-07-30,6.0
2009-08-03,1232.0
2009-08-05,346.0
2009-08-11,-1069.0
2009-08-18,-1299.0
2009-08-20,675.0
2009-08-25,-354.0
2009-09-04,-1052.0
2009-09-16,1147.0
2009-09-18,467.0
2009-09-25,-1137.0
2009-10-02,-145.0
2009-10-06,302.0
2009-10-09,1433.0
2009-10-21,-1217.0
2009-10-26,27.0
2009-10-28,-2999.0
2009-11-03,-1078.0
2009-11-09,1748.0
2009-11-16,2179.0
2009-11-23,-597.0
2009-11-25,600.0
2009-11-27,690.0
2009-12-01,1502.0
2009-12-10,113.0
2009-12-14,82.0
2009-12-22,-1893.0
2009-12-29,394.0
2010-01-11,-18.0
2010-01-13,309.0
2010-01-18,-400.0
2010-02-02,-2746.0
2010-02-09,-2391.0
2010-02-17,1430.0
2010-02-19,-239.0
2010-02-26,-681.0
2010-03-02,551.0
2010-03-04,174.0
2010-03-08,-272.0
2010-03-09,0.0
2010-03-16,-37.0
2010-03-22,-681.0
2010-03-29,552.0
2010-04-23,-1908.0
2010-05-12,355.0
2010-05-27,-774.0
2010-06-02,1102.0
2010-06-10,1373.0
2010-06-23,349.0
2010-07-01,-2989.0
2010-07-06,635.0
2010-07-15,10.0
2010-07-19,958.0
2010-08-16,912.0
2010-08-31,-11.0
2010-09-06,-326.0
2010-09-09,217.0
2010-09-20,527.0
2010-09-22,606.0
2010-10-29,1021.0
2010-11-19,-297.0
2010-12-03,404.0
2010-12-17,-194.0
2010-12-21,951.0
2011-01-18,311.0
2011-01-24,-631.0
2011-02-03,-1944.0
2011-02-07,93.0
2011-02-10,-1193.0
2011-03-02,1039.0
2011-03-29,226.0
2011-04-19,-738.0
2011-05-10,-586.0
2011-05-17,438.0
2011-05-24,496.0
2011-06-16,-1816.0
2011-07-19,-1142.0
2011-07-21,1143.0
2011-08-09,-4866.0
2011-08-23,1347.0
2011-08-26,-445.0
2011-09-16,1666.0
2011-09-29,-2597.0
2011-10-05,-1310.0
2011-10-10,983.0
2011-11-11,1225.0
2011-11-16,302.0
2011-11-24,-1709.0
2011-11-28,1123.0
2011-12-05,767.0
2011-12-13,148.0
2011-12-22,1251.0
2012-02-15,329.0
2012-02-28,718.0
2012-03-01,998.0
2012-04-12,-3850.0
2012-04-18,904.0
2012-04-26,659.0
2012-04-30,129.0
2012-05-07,-1204.0
2012-05-25,-5902.0
2012-06-04,14.0
2012-06-06,1675.0
2012-07-02,-747.0
2012-07-17,488.0
2012-07-30,4602.0
2012-08-03,1735.0
2012-08-08,606.0
2012-08-10,484.0
2012-08-28,-106.0
2012-09-03,-88.0
2012-09-05,630.0
2012-09-24,590.0
2012-10-05,-1929.0
2012-10-15,285.0
2012-11-01,1222.0
2012-11-22,-2080.0
2012-12-03,349.0
2012-12-05,116.0
2012-12-07,831.0
2012-12-18,894.0
2012-12-28,536.0
2013-01-03,762.0
2013-01-09,451.0
2013-01-14,403.0
2013-01-16,59.0
2013-01-31,-1409.0
2013-02-08,126.0
2013-02-26,-1457.0
2013-02-28,150.0
2013-03-06,1989.0
2013-03-11,-302.0
2013-03-26,-2538.0
2013-03-28,318.0
2013-04-05,403.0
2013-04-18,284.0
2013-05-07,845.0
2013-05-15,-869.0
2013-06-06,-1750.0
2013-06-20,-967.0
2013-07-11,1397.0
2013-08-07,-1027.0
2013-08-09,946.0
2013-09-02,1968.0
2013-10-01,-1252.0
2013-10-10,-103.0
2013-11-04,-102.0
2013-11-13,-511.0
2013-11-29,218.0
2013-12-05,-457.0
2013-12-09,221.0
2013-12-16,229.0
2013-12-18,473.0
2014-01-10,374.0
2014-01-14,276.0
2014-01-22,758.0
2014-01-28,-480.0
2014-01-30,-313.0
2014-02-04,-675.0
2014-02-20,-287.0
2014-03-12,-1232.0
2014-04-07,747.0
2014-04-11,238.0
2014-04-17,516.0
2014-05-02,1581.0
2014-05-14,506.0
2014-05-16,120.0
2014-05-22,-547.0
2014-05-26,306.0
2014-06-03,426.0
2014-06-26,-1132.0
2014-08-06,-1334.0
2014-08-15,776.0
2014-09-02,755.0
2014-09-15,-3888.0
2014-09-26,-1903.0
2014-10-02,661.0
2014-10-06,2576.0
2014-10-28,-1973.0
2014-10-30,1288.0
2014-11-04,-245.0
2014-11-18,-663.0
2014-11-21,2681.0
2014-12-05,-3106.0
2014-12-11,313.0
2014-12-17,712.0
2014-12-19,1155.0
2015-01-06,-2006.0
2015-01-08,480.0
2015-01-21,1182.0
2015-01-29,67.0
2015-02-02,743.0
2015-02-19,2784.0
2015-03-11,-2115.0
2015-03-17,1405.0
2015-03-25,-50.0
2015-04-01,1742.0
2015-04-15,679.0
2015-05-04,2029.0
2015-05-25,-2183.0
2015-06-09,-707.0
2015-06-18,1101.0
2015-07-10,442.0
2015-07-16,168.0
2015-08-27,-3885.0
2015-09-04,-656.0
2015-10-05,1008.0
2015-11-17,-349.0
2015-11-26,279.0
2015-12-17,141.0
2016-01-29,-3505.0
2016-02-16,571.0
2016-03-02,2808.0
2016-03-10,469.0
2016-03-21,4042.0
2016-04-07,-267.0
2016-04-13,2857.0
2016-05-06,-1365.0
2016-06-03,-2452.0
2016-06-07,56.0
2016-06-13,239.0
2016-06-17,619.0
2016-06-23,1404.0
2016-06-30,2281.0
2016-07-06,60.0
