Date,Valores
2005-03-01,3379.0
2005-03-22,-1582.0
2005-03-29,-860.0
2005-04-05,-432.0
2005-04-15,-1652.0
2005-04-22,-110.0
2005-04-29,-388.0
2005-05-12,-588.0
2005-05-20,635.0
2005-06-07,481.0
2005-06-13,-49.0
2005-06-22,-66.0
2005-06-30,134.0
2005-07-06,-794.0
2005-08-11,2210.0
2005-10-05,3213.0
2005-10-14,-203.0
2005-12-26,3056.0
2006-01-18,2434.0
2006-03-09,-546.0
2006-04-24,2860.0
2006-05-11,437.0
2006-05-19,-1683.0
2006-05-24,-318.0
2006-05-30,-1156.0
2006-06-06,28.0
2006-06-12,-1883.0
2006-06-20,691.0
2006-06-27,59.0
2006-07-14,515.0
2006-07-21,380.0
2006-08-08,1376.0
2006-08-14,-797.0
2006-08-18,256.0
2006-09-08,761.0
2006-09-21,-1317.0
2006-11-27,5942.0
2006-12-01,284.0
2006-12-08,324.0
2007-01-05,-1052.0
2007-01-16,-206.0
2007-04-24,6336.0
2007-05-08,602.0
2007-05-24,-769.0
2007-06-20,2411.0
2007-07-27,-1735.0
2007-08-13,-2139.0
2007-09-17,5782.0
2007-10-11,5790.0
2007-11-21,-2387.0
2007-12-17,-825.0
2008-02-15,176.0
2008-03-17,-2789.0
2008-05-23,9519.0
2008-06-09,-2348.0
2008-06-20,-2708.0
2008-07-03,-5367.0
2008-07-24,-1931.0
2008-08-01,761.0
2008-08-08,113.0
2008-08-18,-1246.0
2008-08-25,838.0
2008-09-02,-1115.0
2008-09-08,-1222.0
2008-09-30,1106.0
2008-10-06,-7698.0
2008-10-16,-4387.0
2008-10-23,-5623.0
2008-11-19,18.0
2008-12-18,8285.0
2008-12-22,-1512.0
2009-01-20,801.0
2009-02-02,123.0
2009-02-18,-73.0
2009-02-26,-1550.0
2009-03-09,-1442.0
2009-03-16,-188.0
2009-04-07,4314.0
2009-04-15,1091.0
2009-05-20,5220.0
2009-06-03,1519.0
2009-06-17,-2418.0
2009-07-03,-439.0
2009-07-07,-1165.0
2009-07-14,-305.0
2009-09-01,4518.0
2009-09-24,4660.0
2009-11-19,5971.0
2009-12-17,259.0
2010-01-15,1560.0
2010-01-21,-3131.0
2010-01-29,-186.0
2010-02-05,-3809.0
2010-02-23,2955.0
2010-03-09,3781.0
2015-04-10,-15765.0
2015-04-14,-258.0
2015-04-27,-1059.0
2015-05-06,874.0
2015-07-15,-337.0
2015-08-28,1116.0
2015-10-13,-235.0
2015-10-20,-370.0
2015-11-25,-569.0
2015-11-27,-1273.0
2015-12-18,-1350.0
2015-12-28,-251.0
2016-02-02,-1810.0
2016-02-05,-230.0
2016-02-18,530.0
2016-02-23,-714.0
2016-03-08,-144.0
2016-03-22,-162.0
2016-04-06,-958.0
2016-04-14,-739.0
2016-06-06,-187.0
2016-06-20,917.0
2016-06-22,-682.0
2016-06-24,-1455.0
2016-07-05,-727.0
2016-07-20,4563.0
2016-07-25,232.0
2016-08-08,41.0
2016-09-23,303.0
2016-09-29,-1005.0
2016-10-11,378.0
2016-10-19,1739.0
2016-10-24,-48.0
2016-11-01,-1599.0
2016-11-24,-558.0
2016-11-29,-1868.0
2016-12-01,-2399.0
2016-12-07,326.0
2016-12-22,-392.0
2017-01-02,892.0
2017-01-06,-406.0
2017-01-13,1206.0
2017-01-18,-204.0
2017-01-27,194.0
2017-02-02,-258.0
2017-02-14,1748.0
2017-02-16,-162.0
2017-03-30,1412.0
2017-04-26,-286.0
2017-05-03,-628.0
2017-05-12,872.0
2017-05-17,-934.0
2017-07-04,332.0
2017-07-19,-158.0
2017-08-03,857.0
2017-08-08,-41.0
2017-08-17,-378.0
2017-08-25,1063.0
2017-09-08,-333.0
2017-09-14,118.0
2017-09-21,-400.0
2017-11-22,-76.0
2017-12-13,-900.0
2017-12-29,714.0
2018-01-09,973.0
2018-01-23,-997.0
2018-01-29,1018.0
2018-02-20,1279.0
2018-02-27,883.0
2018-04-02,-700.0
2018-04-13,-1110.0
2018-04-20,-226.0
2018-05-17,-2915.0
2018-06-27,-796.0
2018-07-05,2786.0
2018-07-23,-575.0
2018-07-26,250.0
2018-07-31,-1056.0
2018-08-06,1414.0
2018-09-11,-1779.0
2018-09-19,1380.0
2018-10-18,-1917.0
2018-11-01,995.0
2018-11-06,-929.0
2018-12-14,-388.0
2019-01-07,687.0
2019-01-11,1626.0
2019-01-21,659.0
2019-02-05,450.0
2019-03-19,451.0
2019-04-02,-667.0
2019-04-09,-1077.0
2019-04-24,-878.0
2019-04-26,-316.0
2019-05-31,463.0
2019-06-25,-1920.0
2019-07-02,-119.0
2019-07-11,1510.0
2019-07-29,664.0
2019-08-08,1333.0
2019-09-02,102.0
2019-09-10,789.0
2019-09-13,-870.0
2019-09-18,852.0
2019-10-16,1591.0
2019-10-24,-558.0
2019-10-31,-1188.0
2019-12-03,-105.0
2019-12-09,-149.0
2019-12-16,-669.0
2019-12-26,2072.0
2020-01-21,-1836.0
2020-01-24,-15.0
2020-02-06,-838.0
2020-03-27,-4281.0
2020-04-09,-943.0
2020-04-15,-1087.0
2020-04-30,-806.0
2024-11-07,48940.0
