Date,Valores
2005-02-02,254.0
2005-02-04,858.0
2005-02-10,102.0
2005-02-15,-61.0
2005-02-17,707.0
2005-02-21,97.0
2005-02-23,458.0
2005-03-02,-236.0
2005-03-04,529.0
2005-03-10,-888.0
2005-03-14,24.0
2005-03-16,239.0
2005-03-24,-1384.0
2005-03-30,213.0
2005-04-01,163.0
2005-04-07,-99.0
2005-04-11,15.0
2005-04-18,-1329.0
2005-04-25,-334.0
2005-04-29,-461.0
2005-05-03,11.0
2005-05-06,115.0
2005-05-16,-1086.0
2005-05-18,485.0
2005-05-24,-284.0
2005-05-27,777.0
2005-06-01,525.0
2005-06-10,-1689.0
2005-06-14,842.0
2005-06-16,270.0
2005-06-24,-1176.0
2005-06-28,35.0
2005-07-01,185.0
2005-07-11,-29.0
2005-07-13,320.0
2005-07-18,-599.0
2005-07-20,434.0
2005-07-26,-974.0
2005-07-28,730.0
2005-08-01,256.0
2005-08-05,-271.0
2005-08-09,580.0
2005-08-12,-166.0
2005-08-17,41.0
2005-08-22,361.0
2005-08-25,633.0
2005-08-29,290.0
2005-08-31,441.0
2005-09-02,357.0
2005-09-06,333.0
2005-09-09,480.0
2005-09-14,-36.0
2005-09-16,450.0
2005-09-21,761.0
2005-09-23,616.0
2005-09-28,176.0
2005-09-30,375.0
2005-10-07,-1883.0
2005-10-11,337.0
2005-10-17,362.0
2005-10-19,229.0
2005-10-21,832.0
2005-10-26,-105.0
2005-10-28,185.0
2005-11-01,706.0
2005-11-07,-148.0
2005-11-10,-246.0
2005-11-16,-29.0
2005-11-18,15.0
2005-11-22,379.0
2005-11-29,-291.0
2005-12-01,700.0
2005-12-06,391.0
2005-12-09,165.0
2005-12-13,449.0
2005-12-16,-337.0
2005-12-20,62.0
2005-12-27,-146.0
2005-12-29,318.0
2006-01-03,1034.0
2006-01-06,473.0
2006-01-11,615.0
2006-01-13,118.0
2006-01-19,324.0
2006-01-24,705.0
2006-01-30,228.0
2006-02-01,102.0
2006-02-06,17.0
2006-02-09,320.0
2006-02-14,-348.0
2006-02-16,1017.0
2006-02-20,117.0
2006-02-22,80.0
2006-02-24,205.0
2006-03-03,62.0
2006-03-10,-1463.0
2006-03-14,748.0
2006-03-20,-40.0
2006-03-22,453.0
2006-03-24,103.0
2006-03-29,-149.0
2006-03-31,175.0
2006-04-04,85.0
2006-04-06,232.0
2006-04-12,-499.0
2006-04-17,380.0
2006-04-19,366.0
2006-04-26,635.0
2006-04-28,612.0
2006-05-04,-41.0
2006-05-08,98.0
2006-05-16,-2563.0
2006-05-31,-1761.0
2006-06-02,194.0
2006-06-08,-1302.0
2006-06-14,-2134.0
2006-06-21,148.0
2006-06-23,344.0
2006-06-28,204.0
2006-06-30,144.0
2006-07-04,10.0
2006-07-06,155.0
2006-07-10,39.0
2006-07-18,-1424.0
2006-07-24,-561.0
2006-07-27,207.0
2006-08-02,-93.0
2006-08-04,397.0
2006-08-10,-344.0
2006-08-15,352.0
2006-08-24,-1881.0
2006-08-28,417.0
2006-08-30,9.0
2006-09-01,1097.0
2006-09-12,-1546.0
2006-09-15,-380.0
2006-09-25,-1510.0
2006-09-27,287.0
2006-10-02,572.0
2006-10-04,1311.0
2006-10-09,429.0
2006-10-13,195.0
2006-10-19,-309.0
2006-10-23,584.0
2006-10-25,64.0
2006-10-31,-382.0
2006-11-03,505.0
2006-11-08,87.0
2006-11-14,476.0
2006-11-21,408.0
2006-11-23,157.0
2006-11-28,-715.0
2006-12-04,684.0
2006-12-08,-179.0
2006-12-13,-12.0
2006-12-19,-165.0
2006-12-26,101.0
2007-01-02,857.0
2007-01-08,-1615.0
2007-01-10,329.0
2007-01-12,425.0
2007-01-17,-184.0
2007-01-19,950.0
2007-01-23,624.0
2007-01-30,-643.0
2007-02-01,173.0
2007-02-05,288.0
2007-02-08,-460.0
2007-02-13,913.0
2007-02-21,94.0
2007-02-26,-245.0
2007-02-28,747.0
2007-03-06,-299.0
2007-03-08,799.0
2007-03-12,116.0
2007-03-14,539.0
2007-03-19,435.0
2007-03-21,1280.0
2007-03-23,109.0
2007-03-29,-290.0
2007-04-03,483.0
2007-04-05,93.0
2007-04-10,319.0
2007-04-12,408.0
2007-04-16,995.0
2007-04-19,7.0
2007-04-25,268.0
2007-04-27,162.0
2007-05-02,516.0
2007-05-04,380.0
2007-05-09,1018.0
2007-05-11,667.0
2007-05-15,7.0
2007-05-18,340.0
2007-05-25,-805.0
2007-05-30,408.0
2007-06-01,1155.0
2007-06-08,-913.0
2007-06-13,217.0
2007-06-15,806.0
2007-06-21,-73.0
2007-06-27,-124.0
2007-06-29,245.0
2007-07-03,329.0
2007-07-05,236.0
2007-07-11,-88.0
2007-07-13,31.0
2007-07-17,286.0
2007-07-19,569.0
2007-07-23,594.0
2007-07-25,206.0
2007-07-30,680.0
2007-08-01,51.0
2007-08-06,-1600.0
2007-08-08,1439.0
2007-08-17,-4872.0
2007-08-21,609.0
2007-08-24,1150.0
2007-08-29,1090.0
2007-08-31,1779.0
2007-09-04,417.0
2007-09-06,161.0
2007-09-11,1268.0
2007-09-13,1025.0
2007-09-18,1995.0
2007-09-21,535.0
2007-09-25,139.0
2007-09-27,1337.0
2007-10-01,1875.0
2007-10-04,-1610.0
2007-10-08,342.0
2007-10-15,-580.0
2007-10-17,1476.0
2007-10-22,-2046.0
2007-10-26,1579.0
2007-10-31,274.0
2007-11-06,453.0
2007-11-08,61.0
2007-11-13,-1394.0
2007-11-22,-3978.0
2007-11-27,-1539.0
2007-11-29,441.0
2007-12-03,194.0
2007-12-05,1446.0
2007-12-12,-897.0
2007-12-18,-1765.0
2007-12-21,1376.0
2007-12-28,-402.0
2008-01-03,77.0
2008-01-08,1044.0
2008-01-10,841.0
2008-01-14,246.0
2008-01-18,-2401.0
2008-01-22,2388.0
2008-01-24,3228.0
2008-01-29,936.0
2008-02-01,791.0
2008-02-08,107.0
2008-02-12,1162.0
2008-02-18,210.0
2008-02-20,1450.0
2008-02-22,817.0
2008-02-26,182.0
2008-02-28,60.0
2008-03-03,1001.0
2008-03-05,973.0
2008-03-11,-607.0
2008-03-13,103.0
2008-03-18,-58.0
2008-03-20,160.0
2008-03-25,1421.0
2008-03-31,-447.0
2008-04-02,589.0
2008-04-04,271.0
2008-04-08,364.0
2008-04-10,50.0
2008-04-15,33.0
2008-04-17,400.0
2008-04-22,490.0
2008-04-25,239.0
2008-04-30,2190.0
2008-05-05,809.0
2008-05-08,-473.0
2008-05-12,770.0
2008-05-15,989.0
2008-05-19,672.0
2008-05-26,-1888.0
2008-05-28,2161.0
2008-05-30,795.0
2008-06-05,-662.0
2008-06-12,-2464.0
2008-06-16,81.0
2008-06-23,-3798.0
2008-06-25,1685.0
2008-06-27,374.0
2008-07-04,-5653.0
2008-07-08,448.0
2008-07-14,468.0
2008-07-16,1041.0
2008-07-21,663.0
2008-07-29,-1604.0
2008-08-05,-3527.0
2008-08-13,-2969.0
2008-08-19,-1499.0
2008-08-21,558.0
2008-08-27,-331.0
2008-09-05,-4442.0
2008-09-10,-1085.0
2008-09-12,1123.0
2008-09-16,813.0
2008-09-18,2514.0
2008-09-24,-3212.0
2008-09-30,-2287.0
2008-10-20,-10358.0
2008-10-30,-1594.0
2008-11-03,992.0
2008-11-07,-3590.0
2008-11-11,486.0
2008-11-13,1619.0
2008-11-24,-1600.0
2008-11-26,1657.0
2008-11-28,383.0
2008-12-02,260.0
2008-12-05,50.0
2008-12-10,719.0
2008-12-12,855.0
2008-12-16,1673.0
2008-12-26,-3083.0
2008-12-30,490.0
2009-01-06,2068.0
2009-01-08,1171.0
2009-01-13,-2039.0
2009-01-15,1169.0
2009-01-21,-799.0
2009-01-23,238.0
2009-01-27,190.0
2009-02-03,-480.0
2009-02-05,980.0
2009-02-13,-1082.0
2009-02-19,-2111.0
2009-02-27,-532.0
2009-03-03,233.0
2009-03-10,393.0
2009-03-12,347.0
2009-03-17,496.0
2009-03-19,311.0
2009-03-23,2363.0
2009-03-25,323.0
2009-03-31,-1663.0
2009-04-02,1760.0
2009-04-08,-209.0
2009-04-13,453.0
2009-04-16,607.0
2009-04-22,-890.0
2009-04-24,971.0
2009-04-28,1.0
2009-04-30,63.0
2009-05-05,265.0
2009-05-08,-103.0
2009-05-14,-1530.0
2009-05-18,2456.0
2009-05-22,-779.0
2009-05-26,1025.0
2009-05-28,1249.0
2009-06-01,1288.0
2009-06-04,-536.0
2009-06-08,289.0
2009-06-10,254.0
2009-06-19,-2184.0
2009-06-23,319.0
2009-06-25,1843.0
2009-06-29,652.0
2009-07-01,79.0
