Date,Valores
2010-03-09,45225.0
2010-03-11,-94.0
2010-04-12,242.0
2010-06-01,-1206.0
2010-06-04,-1267.0
2010-06-14,-72.0
2010-06-22,369.0
2010-06-28,-599.0
2010-08-10,3939.0
2010-08-23,-720.0
2010-09-17,282.0
2010-09-24,-598.0
2010-10-22,714.0
2010-11-10,-267.0
2010-11-23,-2828.0
2010-12-06,-214.0
2011-01-17,2138.0
2011-01-20,-1358.0
2011-03-01,1665.0
2011-03-09,-18.0
2011-04-11,586.0
2011-04-27,-880.0
2011-05-11,-1101.0
2011-05-13,-768.0
2011-06-13,-1365.0
2011-06-24,-151.0
2011-07-07,-127.0
2011-07-26,-930.0
2011-08-19,1053.0
2011-09-12,824.0
2011-10-20,172.0
2011-10-24,1637.0
2011-11-09,406.0
2011-12-12,-1563.0
2011-12-26,-32.0
2011-12-28,-1471.0
2012-02-10,7244.0
2012-03-06,-1028.0
2012-05-03,-320.0
2012-06-22,1284.0
2012-07-11,-2508.0
2012-07-24,-1944.0
2012-08-21,-365.0
2012-08-23,-869.0
2012-09-19,3331.0
2012-10-19,-1165.0
2012-12-04,-639.0
2012-12-06,-23.0
2012-12-13,830.0
2012-12-17,-38.0
2012-12-26,-38.0
2013-01-21,-294.0
2013-03-05,-1473.0
2013-04-02,-1463.0
2013-04-15,-2142.0
2013-05-06,1501.0
2013-05-08,-470.0
2013-05-28,335.0
2013-06-28,-152.0
2013-07-31,1495.0
2013-08-27,-207.0
2013-09-12,1591.0
2013-09-20,-1593.0
2013-09-25,-341.0
2013-10-25,1004.0
2013-11-25,-1188.0
2013-12-10,-172.0
2014-01-07,-389.0
2014-01-17,-923.0
2014-02-13,-261.0
2014-03-05,-700.0
2014-04-04,4515.0
2014-05-15,410.0
2014-06-16,26.0
2014-07-17,2467.0
2014-07-25,808.0
2014-08-05,-414.0
2014-09-04,3836.0
2014-10-16,-2818.0
2014-11-06,-1747.0
2014-11-24,-677.0
2014-11-26,-463.0
2015-01-02,-1609.0
2015-01-28,-1529.0
2015-02-06,-172.0
2015-02-10,-873.0
2015-02-27,303.0
2015-03-24,-461.0
2015-04-08,538.0
2015-04-10,411.0
2015-04-14,-258.0
2015-04-16,-245.0
2015-05-20,-784.0
2015-06-08,-1426.0
2015-06-15,-738.0
2015-07-21,-1117.0
2015-08-03,-727.0
2015-08-13,-1343.0
2015-09-01,-561.0
2015-09-09,-709.0
2015-09-21,-774.0
2015-10-26,2150.0
2015-11-06,-1128.0
2015-12-01,-1800.0
2015-12-04,-1032.0
2015-12-30,-1666.0
2016-01-06,-646.0
2016-01-20,-412.0
2016-02-11,1601.0
2016-02-25,1795.0
2016-03-23,6896.0
2016-04-06,-3059.0
2016-04-18,2601.0
2016-05-02,-916.0
2016-05-09,-728.0
2016-05-11,-307.0
2016-06-27,-641.0
2016-08-01,6749.0
2016-08-12,1221.0
2016-08-16,-291.0
2016-08-18,-158.0
2016-09-13,-2795.0
2016-10-26,5917.0
2016-11-04,-2710.0
2016-11-10,-2957.0
2016-12-05,-927.0
2016-12-12,-2235.0
2017-01-06,4082.0
2017-02-07,2499.0
2017-02-17,2913.0
2017-02-24,-1871.0
2017-03-16,249.0
2017-04-13,-695.0
2017-05-29,0.0
2017-06-12,-1255.0
2017-06-20,-1157.0
2017-06-27,-513.0
2017-07-07,83.0
2017-07-19,1348.0
2017-08-10,1324.0
2017-08-21,350.0
2017-09-22,4912.0
2017-10-06,-536.0
2017-10-16,-5.0
2017-10-19,-308.0
2017-10-23,-978.0
2017-10-30,-1871.0
2017-11-09,-1380.0
2017-11-24,1645.0
2017-12-07,223.0
2018-02-09,8099.0
2018-03-07,1193.0
2018-03-15,-1972.0
2018-03-22,-209.0
2018-03-27,-1280.0
2018-04-04,486.0
2018-05-03,-1222.0
2018-05-11,955.0
2018-05-15,-102.0
2018-05-17,-2915.0
2018-06-06,-637.0
2018-06-21,-2048.0
2018-07-11,3758.0
2018-08-08,3296.0
2018-08-15,-1524.0
2018-08-30,-1526.0
2018-11-09,9225.0
2018-12-06,2873.0
2018-12-20,-1708.0
2019-02-08,9646.0
2019-02-13,-326.0
2019-02-27,375.0
2019-03-14,3240.0
2019-03-21,-2408.0
2019-04-11,-660.0
2019-05-06,676.0
2019-05-09,-789.0
2019-05-24,-857.0
2019-06-12,1928.0
2019-07-16,3472.0
2019-07-23,-152.0
2019-08-26,-7053.0
2019-10-01,5859.0
2019-11-12,5269.0
2019-11-18,-210.0
2019-12-04,2804.0
2020-01-07,6040.0
2020-01-31,-2943.0
2020-02-10,-2987.0
2020-02-14,-2293.0
2020-02-20,-723.0
2020-03-05,-4392.0
2020-03-18,-15783.0
2020-04-23,4717.0
2020-05-07,-120.0
2020-05-13,-2491.0
2024-11-07,48940.0
