Date,Profit
2005-01-31,0.0
2005-02-01,-202.0
2005-02-02,254.0
2005-02-03,254.0
2005-02-04,1112.0
2005-02-09,1694.0
2005-02-10,1796.0
2005-02-11,2051.0
2005-02-14,1912.0
2005-02-15,1990.0
2005-02-16,1990.0
2005-02-17,1990.0
2005-02-18,1990.0
2005-02-21,1990.0
2005-02-22,1990.0
2005-02-23,1990.0
2005-02-24,1990.0
2005-02-25,1990.0
2005-02-28,1990.0
2005-03-01,1581.0
2005-03-02,2051.0
2005-03-03,2051.0
2005-03-04,2580.0
2005-03-07,2838.0
2005-03-08,2838.0
2005-03-09,2331.0
2005-03-10,2331.0
2005-03-11,2331.0
2005-03-14,2331.0
2005-03-15,2331.0
2005-03-16,2331.0
2005-03-17,2331.0
2005-03-18,2331.0
2005-03-21,2331.0
2005-03-22,1538.0
2005-03-23,1168.0
2005-03-24,1622.0
2005-03-28,1177.0
2005-03-29,762.0
2005-03-30,1390.0
2005-03-31,1531.0
2005-04-01,1694.0
2005-04-04,1327.0
2005-04-05,958.0
2005-04-06,615.0
2005-04-07,1228.0
2005-04-08,1228.0
2005-04-11,1243.0
2005-04-12,1549.0
2005-04-13,1409.0
2005-04-14,327.0
2005-04-15,-1.0
2005-04-18,220.0
2005-04-19,220.0
2005-04-20,-284.0
2005-04-22,-579.0
2005-04-25,-114.0
2005-04-26,-41.0
2005-04-27,-104.0
2005-04-28,-906.0
2005-04-29,-502.0
2005-05-02,-641.0
2005-05-03,-630.0
2005-05-04,-630.0
2005-05-05,-630.0
2005-05-06,-477.0
2005-05-09,-601.0
2005-05-10,-1303.0
2005-05-11,-1303.0
2005-05-12,-1885.0
2005-05-13,-2115.0
2005-05-16,-1623.0
2005-05-17,-1589.0
2005-05-18,-1104.0
2005-05-19,-1173.0
2005-05-20,-1480.0
2005-05-23,-1787.0
2005-05-24,-1457.0
2005-05-25,-1524.0
2005-05-27,-747.0
2005-05-30,-578.0
2005-05-31,-795.0
2005-06-01,-53.0
2005-06-02,638.0
2005-06-03,364.0
2005-06-06,364.0
2005-06-07,-166.0
2005-06-08,-490.0
2005-06-09,-708.0
2005-06-10,-241.0
2005-06-13,-290.0
2005-06-14,552.0
2005-06-15,289.0
2005-06-16,559.0
2005-06-17,901.0
2005-06-20,854.0
2005-06-21,530.0
2005-06-22,486.0
2005-06-23,-376.0
2005-06-24,-275.0
2005-06-27,34.0
2005-06-28,69.0
2005-06-29,-66.0
2005-06-30,-141.0
2005-07-01,119.0
2005-07-04,-147.0
2005-07-05,-517.0
2005-07-06,-675.0
2005-07-07,-742.0
2005-07-08,-769.0
2005-07-11,-176.0
2005-07-12,344.0
2005-07-13,664.0
2005-07-14,728.0
2005-07-15,30.0
2005-07-18,129.0
2005-07-19,129.0
2005-07-20,129.0
2005-07-21,129.0
2005-07-22,129.0
2005-07-25,129.0
2005-07-26,466.0
2005-07-27,466.0
2005-07-28,466.0
2005-07-29,466.0
2005-08-01,466.0
2005-08-02,466.0
2005-08-03,466.0
2005-08-04,466.0
2005-08-05,514.0
2005-08-08,514.0
2005-08-09,1094.0
2005-08-10,1094.0
2005-08-11,1094.0
2005-08-12,1412.0
2005-08-15,1412.0
2005-08-16,1117.0
2005-08-17,1453.0
2005-08-18,1453.0
2005-08-19,1197.0
2005-08-22,1197.0
2005-08-23,1197.0
2005-08-24,1197.0
2005-08-25,1197.0
2005-08-26,1197.0
2005-08-29,1197.0
2005-08-30,1197.0
2005-08-31,1197.0
2005-09-01,1197.0
2005-09-02,1197.0
2005-09-05,1400.0
2005-09-06,1400.0
2005-09-08,1373.0
2005-09-09,1853.0
2005-09-12,1853.0
2005-09-13,1853.0
2005-09-14,1853.0
2005-09-15,1853.0
2005-09-16,1853.0
2005-09-19,1853.0
2005-09-20,1853.0
2005-09-21,1853.0
2005-09-22,1853.0
2005-09-23,1853.0
2005-09-26,1853.0
2005-09-27,1853.0
2005-09-28,1853.0
2005-09-29,1853.0
2005-09-30,1853.0
2005-10-03,1853.0
2005-10-04,1853.0
2005-10-05,733.0
2005-10-06,-204.0
2005-10-07,542.0
2005-10-10,542.0
2005-10-11,879.0
2005-10-13,145.0
2005-10-14,35.0
2005-10-17,507.0
2005-10-18,507.0
2005-10-19,507.0
2005-10-20,507.0
