Date,Profit
2005-01-31,0.0
2005-02-01,-202.0
2005-02-02,254.0
2005-02-03,523.0
2005-02-04,1381.0
2005-02-09,1963.0
2005-02-10,2065.0
2005-02-11,2320.0
2005-02-14,2181.0
2005-02-15,2259.0
2005-02-16,2033.0
2005-02-17,2740.0
2005-02-18,2405.0
2005-02-21,2502.0
2005-02-22,2389.0
2005-02-23,2847.0
2005-02-24,4085.0
2005-02-25,4074.0
2005-02-28,3788.0
2005-03-01,3379.0
2005-03-02,3379.0
2005-03-03,3847.0
2005-03-04,4376.0
2005-03-07,4634.0
2005-03-08,4200.0
2005-03-09,3693.0
2005-03-10,3746.0
2005-03-11,3254.0
2005-03-14,3278.0
2005-03-15,2767.0
2005-03-16,3006.0
2005-03-17,3265.0
2005-03-18,2772.0
2005-03-21,2590.0
2005-03-22,1797.0
2005-03-23,1797.0
2005-03-24,1797.0
2005-03-28,1352.0
2005-03-29,937.0
2005-03-30,937.0
2005-03-31,1078.0
2005-04-01,1241.0
2005-04-04,874.0
2005-04-05,505.0
2005-04-06,505.0
2005-04-07,505.0
2005-04-08,82.0
2005-04-11,97.0
2005-04-12,403.0
2005-04-13,263.0
2005-04-14,-819.0
2005-04-15,-1147.0
2005-04-18,-1147.0
2005-04-19,-458.0
2005-04-20,-962.0
2005-04-22,-1257.0
2005-04-25,-1257.0
2005-04-26,-1184.0
2005-04-27,-1247.0
2005-04-28,-2049.0
2005-04-29,-1645.0
2005-05-02,-1645.0
2005-05-03,-1634.0
2005-05-04,-876.0
2005-05-05,-914.0
2005-05-06,-761.0
2005-05-09,-885.0
2005-05-10,-1587.0
2005-05-11,-1651.0
2005-05-12,-2233.0
2005-05-13,-2233.0
2005-05-16,-1741.0
2005-05-17,-1707.0
2005-05-18,-1222.0
2005-05-19,-1291.0
2005-05-20,-1598.0
2005-05-23,-1598.0
2005-05-24,-1598.0
2005-05-25,-1665.0
2005-05-27,-888.0
2005-05-30,-719.0
2005-05-31,-936.0
2005-06-01,-194.0
2005-06-02,497.0
2005-06-03,223.0
2005-06-06,-587.0
2005-06-07,-1117.0
2005-06-08,-1117.0
2005-06-09,-1117.0
2005-06-10,-1117.0
2005-06-13,-1166.0
2005-06-14,-1166.0
2005-06-15,-1429.0
2005-06-16,-1159.0
2005-06-17,-817.0
2005-06-20,-864.0
2005-06-21,-1188.0
2005-06-22,-1232.0
2005-06-23,-1232.0
2005-06-24,-1232.0
2005-06-27,-923.0
2005-06-28,-888.0
2005-06-29,-1023.0
2005-06-30,-1098.0
2005-07-01,-1098.0
2005-07-04,-1364.0
2005-07-05,-1734.0
2005-07-06,-1892.0
2005-07-07,-1892.0
2005-07-08,-1892.0
2005-07-11,-1299.0
2005-07-12,-779.0
2005-07-13,-459.0
2005-07-14,-395.0
2005-07-15,-1093.0
2005-07-18,-994.0
2005-07-19,-1044.0
2005-07-20,-610.0
2005-07-21,-473.0
2005-07-22,-924.0
2005-07-25,-1784.0
2005-07-26,-1447.0
2005-07-27,-977.0
2005-07-28,-247.0
2005-07-29,-273.0
2005-08-01,-17.0
2005-08-02,474.0
2005-08-03,399.0
2005-08-04,155.0
2005-08-05,203.0
2005-08-08,396.0
2005-08-09,976.0
2005-08-10,802.0
2005-08-11,318.0
2005-08-12,318.0
2005-08-15,742.0
2005-08-16,447.0
2005-08-17,783.0
2005-08-18,267.0
2005-08-19,11.0
2005-08-22,628.0
2005-08-23,136.0
2005-08-24,79.0
2005-08-25,769.0
2005-08-26,462.0
2005-08-29,752.0
2005-08-30,971.0
2005-08-31,1412.0
2005-09-01,1329.0
2005-09-02,1686.0
2005-09-05,1889.0
2005-09-06,2222.0
2005-09-08,2195.0
2005-09-09,2675.0
2005-09-12,2453.0
2005-09-13,2240.0
2005-09-14,2417.0
2005-09-15,2733.0
2005-09-16,3183.0
2005-09-19,3443.0
2005-09-20,3426.0
2005-09-21,4204.0
2005-09-22,4045.0
2005-09-23,4661.0
2005-09-26,4508.0
2005-09-27,4242.0
2005-09-28,4684.0
2005-09-29,4576.0
2005-09-30,4951.0
2005-10-03,5223.0
2005-10-04,4651.0
2005-10-05,3531.0
2005-10-06,3531.0
2005-10-07,3531.0
2005-10-10,3835.0
2005-10-11,4172.0
2005-10-13,3438.0
