Date,Valores,Profit
2005-01-31,,0.0
2005-02-01,,-202.0
2005-02-02,,254.0
2005-02-03,,254.0
2005-02-04,,1112.0
2005-02-09,,1112.0
2005-02-10,,1214.0
2005-02-11,,1214.0
2005-02-14,,1075.0
2005-02-15,,1153.0
2005-02-16,,1153.0
2005-02-17,,1860.0
2005-02-18,,1860.0
2005-02-21,,1957.0
2005-02-22,,1957.0
2005-02-23,,2415.0
2005-02-24,,2415.0
2005-02-25,,2404.0
2005-02-28,,2118.0
2005-03-01,,1709.0
2005-03-02,,2179.0
2005-03-03,,2179.0
2005-03-04,,2708.0
2005-03-07,,2708.0
2005-03-08,,2274.0
2005-03-09,,1767.0
2005-03-10,,1820.0
2005-03-11,,1820.0
2005-03-14,,1844.0
2005-03-15,,1844.0
2005-03-16,,2083.0
2005-03-17,,2083.0
2005-03-18,,1590.0
2005-03-21,,1408.0
2005-03-22,,615.0
2005-03-23,,245.0
2005-03-24,,699.0
2005-03-28,,699.0
2005-03-29,,284.0
2005-03-30,,912.0
2005-03-31,,912.0
2005-04-01,,1075.0
2005-04-04,,1075.0
2005-04-05,,706.0
2005-04-06,,363.0
2005-04-07,,976.0
2005-04-08,,976.0
2005-04-11,,991.0
2005-04-12,,991.0
2005-04-13,,851.0
2005-04-14,,-231.0
2005-04-15,,-559.0
2005-04-18,,-338.0
2005-04-19,,-338.0
2005-04-20,,-842.0
2005-04-22,,-1137.0
2005-04-25,,-672.0
2005-04-26,,-672.0
2005-04-27,,-735.0
2005-04-28,,-1537.0
2005-04-29,,-1133.0
2005-05-02,,-1133.0
2005-05-03,,-1122.0
2005-05-04,,-1122.0
2005-05-05,,-1160.0
2005-05-06,,-1007.0
2005-05-09,,-1007.0
2005-05-10,,-1709.0
2005-05-11,,-1773.0
2005-05-12,,-2355.0
2005-05-13,,-2585.0
2005-05-16,,-2093.0
2005-05-17,,-2093.0
2005-05-18,,-1608.0
2005-05-19,,-1608.0
2005-05-20,,-1915.0
2005-05-23,,-2222.0
2005-05-24,,-1892.0
2005-05-25,,-1892.0
2005-05-27,,-1115.0
2005-05-30,,-1115.0
2005-05-31,,-1332.0
2005-06-01,,-590.0
2005-06-02,,-590.0
2005-06-03,,-864.0
2005-06-06,,-1674.0
2005-06-07,,-2204.0
2005-06-08,,-2528.0
2005-06-09,,-2746.0
2005-06-10,,-2279.0
2005-06-13,,-2279.0
2005-06-14,,-1437.0
2005-06-15,,-1437.0
2005-06-16,,-1167.0
2005-06-17,,-1167.0
2005-06-20,,-1214.0
2005-06-21,,-1538.0
2005-06-22,,-1582.0
2005-06-23,,-2444.0
2005-06-24,,-2343.0
2005-06-27,,-2343.0
2005-06-28,,-2308.0
2005-06-29,,-2308.0
2005-06-30,,-2383.0
2005-07-01,,-2123.0
2005-07-04,,-2123.0
2005-07-05,,-2493.0
2005-07-06,,-2651.0
2005-07-07,,-2718.0
2005-07-08,,-2745.0
2005-07-11,,-2152.0
2005-07-12,,-2152.0
2005-07-13,,-1832.0
2005-07-14,,-1832.0
2005-07-15,,-2530.0
2005-07-18,,-2431.0
2005-07-19,,-2431.0
2005-07-20,,-1997.0
2005-07-21,,-1997.0
2005-07-22,,-2448.0
2005-07-25,,-3308.0
2005-07-26,,-2971.0
2005-07-27,,-2971.0
2005-07-28,,-2241.0
2005-07-29,,-2241.0
2005-08-01,,-1985.0
2005-08-02,,-1985.0
2005-08-03,,-2060.0
2005-08-04,,-2304.0
2005-08-05,,-2256.0
2005-08-08,,-2256.0
2005-08-09,,-1676.0
2005-08-10,,-1676.0
2005-08-11,,-2160.0
2005-08-12,,-1842.0
2005-08-15,,-1842.0
2005-08-16,,-2137.0
2005-08-17,,-1801.0
2005-08-18,,-1801.0
2005-08-19,,-2057.0
2005-08-22,,-1440.0
2005-08-23,,-1440.0
2005-08-24,,-1497.0
2005-08-25,,-807.0
2005-08-26,,-807.0
2005-08-29,,-517.0
2005-08-30,,-517.0
2005-08-31,,-76.0
2005-09-01,,-76.0
2005-09-02,,281.0
2005-09-05,,281.0
2005-09-06,,614.0
2005-09-08,,614.0
2005-09-09,,1094.0
2005-09-12,,1094.0
2005-09-13,,881.0
2005-09-14,,1058.0
2005-09-15,,1058.0
2005-09-16,,1508.0
2005-09-19,,1508.0
